[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[32.75, 'Note', 'Parte_3', 0.25, 58, None]
[33.0, 'Note', 'Parte_1', 0.25, 63, None]
[33.0, 'Note', 'Parte_3', 0.5, 61, None]
[33.25, 'Note', 'Parte_1', 0.25, 75, None]
[33.5, 'Note', 'Parte_1', 0.25, 67, None]
[33.5, 'Note', 'Parte_3', 0.5, 58, None]
[33.75, 'Note', 'Parte_1', 0.25, 75, None]
[34.0, 'Note', 'Parte_1', 0.25, 70, None]
[34.0, 'Rest', 'Parte_2', 2.0, 0, None]
[34.0, 'Note', 'Parte_3', 0.5, 55, None]
[34.0, 'Rest', 'Parte_4', 2.0, 0, None]
[34.0, 'Rest', 'Parte_5', 2.0, 0, None]
[34.25, 'Note', 'Parte_1', 0.25, 75, None]
[34.5, 'Note', 'Parte_1', 0.25, 74, None]
[34.5, 'Note', 'Parte_3', 0.5, 51, None]
[34.75, 'Note', 'Parte_1', 0.25, 75, None]
[35.0, 'Note', 'Parte_1', 0.25, 73, None]
[35.0, 'Note', 'Parte_3', 0.5, 53, None]
[35.25, 'Note', 'Parte_1', 0.25, 75, None]
[35.5, 'Note', 'Parte_1', 0.25, 70, None]
[35.5, 'Note', 'Parte_3', 0.5, 55, None]
[35.75, 'Note', 'Parte_1', 0.25, 75, None]
[36.0, 'Note', 'Parte_1', 0.25, 72, None]
[36.0, 'Rest', 'Parte_2', 2.0, 0, None]
[36.0, 'Note', 'Parte_3', 0.5, 56, None]
[36.0, 'Rest', 'Parte_4', 2.0, 0, None]
[36.0, 'Rest', 'Parte_5', 2.0, 0, None]
[36.25, 'Note', 'Parte_1', 0.25, 75, None]
[36.5, 'Chord', 'Parte_1', 0.25, [63, 72], None]
[36.5, 'Note', 'Parte_3', 0.5, 44, None]
[36.75, 'Note', 'Parte_1', 0.25, 75, None]
[37.0, 'Chord', 'Parte_1', 0.25, [67, 73], None]
[37.0, 'Note', 'Parte_3', 0.5, 46, None]
[37.25, 'Note', 'Parte_1', 0.25, 75, None]
[37.5, 'Chord', 'Parte_1', 0.25, [68, 72], None]
[37.5, 'Note', 'Parte_3', 0.5, 48, None]
[37.75, 'Note', 'Parte_1', 0.25, 75, None]
[38.0, 'Chord', 'Parte_1', 0.25, [65, 72], None]
[38.0, 'Rest', 'Parte_2', 2.0, 0, None]
[38.0, 'Note', 'Parte_3', 0.5, 49, None]
[38.0, 'Rest', 'Parte_4', 2.0, 0, None]
[38.0, 'Rest', 'Parte_5', 2.0, 0, None]
[38.25, 'Note', 'Parte_1', 0.25, 75, None]
[38.5, 'Chord', 'Parte_1', 0.25, [65, 70], None]
[38.5, 'Note', 'Parte_3', 0.5, 46, None]
[38.75, 'Note', 'Parte_1', 0.25, 73, None]
[39.0, 'Chord', 'Parte_1', 0.25, [63, 68], None]
[39.0, 'Note', 'Parte_3', 0.5, 51, None]
[39.25, 'Note', 'Parte_1', 0.25, 72, None]
[39.5, 'Chord', 'Parte_1', 0.25, [61, 67], None]
[39.5, 'Note', 'Parte_3', 0.5, 39, None]
[39.75, 'Note', 'Parte_1', 0.25, 70, None]
[40.0, 'Chord', 'Parte_1', 0.5, [60, 68], None]
[40.0, 'Rest', 'Parte_2', 2.0, 0, None]
[40.0, 'Note', 'Parte_3', 0.5, 44, None]
[40.0, 'Rest', 'Parte_4', 2.0, 0, None]
[40.0, 'Rest', 'Parte_5', 2.0, 0, None]
[40.5, 'Rest', 'Parte_1', 0.5, 0, None]
[40.5, 'Note', 'Parte_3', 0.5, 32, None]
[41.0, 'Chord', 'Parte_1', 0.5, [70, 82], None]
[41.0, 'Note', 'Parte_3', 0.25, 48, None]
[41.25, 'Note', 'Parte_3', 0.25, 60, None]
[41.5, 'Chord', 'Parte_1', 0.5, [67, 79], None]
[41.5, 'Note', 'Parte_3', 0.25, 52, None]
[41.75, 'Note', 'Parte_3', 0.25, 60, None]
[42.0, 'Chord', 'Parte_1', 0.5, [64, 76], None]
[42.0, 'Rest', 'Parte_2', 2.0, 0, None]
[42.0, 'Note', 'Parte_3', 0.25, 55, None]
[42.0, 'Rest', 'Parte_4', 2.0, 0, None]
[42.0, 'Rest', 'Parte_5', 2.0, 0, None]
[42.25, 'Note', 'Parte_3', 0.25, 60, None]
[42.5, 'Note', 'Parte_1', 0.5, 72, None]
[42.5, 'Note', 'Parte_3', 0.25, 59, None]
[42.75, 'Note', 'Parte_3', 0.25, 60, None]
[43.0, 'Chord', 'Parte_1', 0.5, [62, 74], None]
[43.0, 'Note', 'Parte_3', 0.25, 58, None]
[43.25, 'Note', 'Parte_3', 0.25, 60, None]
[43.5, 'Chord', 'Parte_1', 0.5, [64, 76], None]
[43.5, 'Note', 'Parte_3', 0.25, 55, None]
[43.75, 'Note', 'Parte_3', 0.25, 60, None]
[44.0, 'Chord', 'Parte_1', 0.5, [65, 77], None]
[44.0, 'Rest', 'Parte_2', 2.0, 0, None]
[44.0, 'Note', 'Parte_3', 0.25, 56, None]
[44.0, 'Rest', 'Parte_4', 2.0, 0, None]
[44.0, 'Rest', 'Parte_5', 2.0, 0, None]
[44.25, 'Note', 'Parte_3', 0.25, 60, None]
[44.5, 'Chord', 'Parte_1', 0.5, [68, 80], None]
[44.5, 'Note', 'Parte_3', 0.25, 53, None]
[44.75, 'Note', 'Parte_3', 0.25, 60, None]
[45.0, 'Note', 'Parte_1', 0.25, 70, None]
[45.0, 'Note', 'Parte_3', 0.5, 68, None]
[45.25, 'Note', 'Parte_1', 0.25, 82, None]
[45.5, 'Note', 'Parte_1', 0.25, 74, None]
[45.5, 'Note', 'Parte_3', 0.5, 65, None]
[45.75, 'Note', 'Parte_1', 0.25, 82, None]
[46.0, 'Note', 'Parte_1', 0.25, 77, None]
[46.0, 'Rest', 'Parte_2', 2.0, 0, None]
[46.0, 'Note', 'Parte_3', 0.5, 62, None]
[46.0, 'Rest', 'Parte_4', 2.0, 0, None]
[46.0, 'Rest', 'Parte_5', 2.0, 0, None]
[46.25, 'Note', 'Parte_1', 0.25, 82, None]
[46.5, 'Note', 'Parte_1', 0.25, 81, None]
[46.5, 'Note', 'Parte_3', 0.5, 58, None]
[46.75, 'Note', 'Parte_1', 0.25, 82, None]
[47.0, 'Note', 'Parte_1', 0.25, 80, None]
[47.0, 'Note', 'Parte_3', 0.5, 60, None]
[47.25, 'Note', 'Parte_1', 0.25, 82, None]
[47.5, 'Note', 'Parte_1', 0.25, 77, None]
[47.5, 'Note', 'Parte_3', 0.5, 62, None]
[47.75, 'Note', 'Parte_1', 0.25, 82, None]
[48.0, 'Note', 'Parte_1', 0.25, 79, None]
[48.0, 'Rest', 'Parte_2', 2.0, 0, None]
[48.0, 'Note', 'Parte_3', 0.5, 63, None]
[48.0, 'Rest', 'Parte_4', 2.0, 0, None]
[48.0, 'Rest', 'Parte_5', 2.0, 0, None]
[48.25, 'Note', 'Parte_1', 0.25, 82, None]
[48.5, 'Note', 'Parte_1', 0.25, 75, None]
[48.5, 'Note', 'Parte_3', 0.5, 67, None]
[48.75, 'Note', 'Parte_1', 0.25, 82, None]
[49.0, 'Chord', 'Parte_1', 0.5, [73, 85], None]
[49.0, 'Note', 'Parte_3', 0.25, 39, None]
[49.25, 'Note', 'Parte_3', 0.25, 51, None]
[49.5, 'Chord', 'Parte_1', 0.5, [70, 82], None]
[49.5, 'Note', 'Parte_3', 0.25, 43, None]
[49.75, 'Note', 'Parte_3', 0.25, 51, None]
[50.0, 'Chord', 'Parte_1', 0.5, [67, 79], None]
[50.0, 'Rest', 'Parte_2', 2.0, 0, None]
[50.0, 'Note', 'Parte_3', 0.25, 46, None]
[50.0, 'Rest', 'Parte_4', 2.0, 0, None]
[50.0, 'Rest', 'Parte_5', 2.0, 0, None]
[50.25, 'Note', 'Parte_3', 0.25, 51, None]
[50.5, 'Chord', 'Parte_1', 0.5, [63, 75], None]
[50.5, 'Note', 'Parte_3', 0.25, 50, None]
[50.75, 'Note', 'Parte_3', 0.25, 51, None]
[51.0, 'Chord', 'Parte_1', 0.5, [65, 77], None]
[51.0, 'Note', 'Parte_3', 0.25, 49, None]
[51.25, 'Note', 'Parte_3', 0.25, 51, None]
[51.5, 'Chord', 'Parte_1', 0.5, [67, 79], None]
[51.5, 'Note', 'Parte_3', 0.25, 46, None]
[51.75, 'Note', 'Parte_3', 0.25, 51, None]
[52.0, 'Chord', 'Parte_1', 0.5, [68, 80], None]
[52.0, 'Rest', 'Parte_2', 2.0, 0, None]
[52.0, 'Note', 'Parte_3', 0.25, 48, None]
[52.0, 'Rest', 'Parte_4', 2.0, 0, None]
[52.0, 'Rest', 'Parte_5', 2.0, 0, None]
[52.25, 'Note', 'Parte_3', 0.25, 51, None]
[52.5, 'Chord', 'Parte_1', 0.25, [75, 80, 84], None]
[52.5, 'Note', 'Parte_3', 0.25, 44, None]
[52.75, 'Note', 'Parte_1', 0.25, 87, None]
[52.75, 'Note', 'Parte_3', 0.25, 56, None]
[53.0, 'Chord', 'Parte_1', 0.25, [75, 82, 85], None]
[53.0, 'Note', 'Parte_3', 0.25, 43, None]
[53.25, 'Note', 'Parte_1', 0.25, 87, None]
