[0.0, 'Formula de Compasso', '3/4']
[120.0, 'Rest', 'Parte_5', 3.0, 0, None]
[120.0, 'Rest', 'Parte_6', 3.0, 0, None]
[121.0, 'Note', 'Parte_4', 1.0, 67, None]
[122.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[122.0, 'Rest', 'Parte_4', 1.0, 0, None]
[123.0, 'Chord', 'Parte_1', 2.0, [64, 70, 73], None]
[123.0, 'Rest', 'Parte_2', 3.0, 0, None]
[123.0, 'Rest', 'Parte_3', 3.0, 0, None]
[123.0, 'Note', 'Parte_4', 1.0, 55, None]
[123.0, 'Rest', 'Parte_5', 3.0, 0, None]
[123.0, 'Rest', 'Parte_6', 3.0, 0, None]
[124.0, 'Note', 'Parte_4', 1.0, 67, None]
[125.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[125.0, 'Rest', 'Parte_4', 1.0, 0, None]
[126.0, 'Chord', 'Parte_1', 1.0, [64, 70, 73], None]
[126.0, 'Rest', 'Parte_2', 3.0, 0, None]
[126.0, 'Rest', 'Parte_3', 3.0, 0, None]
[126.0, 'Rest', 'Parte_4', 1.0, 0, None]
[126.0, 'Rest', 'Parte_5', 3.0, 0, None]
[126.0, 'Rest', 'Parte_6', 3.0, 0, None]
[127.0, 'Rest', 'Parte_1', 1.0, 0, None]
[127.0, 'Note', 'Parte_4', 1.0, 55, None]
[128.0, 'Rest', 'Parte_1', 1.0, 0, None]
[128.0, 'Note', 'Parte_4', 1.0, 67, None]
[129.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[129.0, 'Rest', 'Parte_2', 3.0, 0, None]
[129.0, 'Rest', 'Parte_3', 3.0, 0, None]
[129.0, 'Rest', 'Parte_4', 1.0, 0, None]
[129.0, 'Rest', 'Parte_5', 3.0, 0, None]
[129.0, 'Rest', 'Parte_6', 3.0, 0, None]
[130.0, 'Rest', 'Parte_1', 1.0, 0, None]
[130.0, 'Note', 'Parte_4', 1.0, 55, None]
[131.0, 'Rest', 'Parte_1', 1.0, 0, None]
[131.0, 'Note', 'Parte_4', 1.0, 67, None]
[132.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[132.0, 'Rest', 'Parte_2', 3.0, 0, None]
[132.0, 'Rest', 'Parte_3', 3.0, 0, None]
[132.0, 'Rest', 'Parte_4', 1.0, 0, None]
[132.0, 'Rest', 'Parte_5', 3.0, 0, None]
[132.0, 'Rest', 'Parte_6', 3.0, 0, None]
[133.0, 'Rest', 'Parte_1', 1.0, 0, None]
[133.0, 'Note', 'Parte_4', 1.0, 55, None]
[134.0, 'Rest', 'Parte_1', 1.0, 0, None]
[134.0, 'Note', 'Parte_4', 1.0, 67, None]
[135.0, 'Chord', 'Parte_1', 1.0, [64, 70, 72], None]
[135.0, 'Rest', 'Parte_2', 3.0, 0, None]
[135.0, 'Rest', 'Parte_3', 3.0, 0, None]
[135.0, 'Rest', 'Parte_4', 1.0, 0, None]
[135.0, 'Rest', 'Parte_5', 3.0, 0, None]
[135.0, 'Rest', 'Parte_6', 3.0, 0, None]
