r,3.0,0.0
41,1/3,1093/3
46,1/3,1094/3
38,1/3,365.0
41,1/3,1096/3
46,1/3,1097/3
38,1/3,366.0
41,1/3,1099/3
46,1/3,1100/3
39,1/3,367.0
43,1/3,1102/3
46,1/3,1103/3
39,1/3,368.0
43,1/3,1105/3
46,1/3,1106/3
40,1/3,369.0
43,1/3,1108/3
48,1/3,1109/3
40,1/3,370.0
43,1/3,1111/3
48,1/3,1112/3
41,1/3,371.0
44,1/3,1114/3
48,1/3,1115/3
41,1/3,372.0
44,1/3,1117/3
48,1/3,1118/3
41,1/3,373.0
44,1/3,1120/3
50,1/3,1121/3
41,1/3,374.0
44,1/3,1123/3
50,1/3,1124/3
43,1/3,375.0
46,1/3,1126/3
51,1/3,1127/3
43,1/3,376.0
46,1/3,1129/3
51,1/3,1130/3
43,1/3,377.0
46,1/3,1132/3
52,1/3,1133/3
43,1/3,378.0
46,1/3,1135/3
52,1/3,1136/3
44,1/3,379.0
48,1/3,1138/3
53,1/3,1139/3
44,1/3,380.0
48,1/3,1141/3
53,1/3,1142/3
44,1/3,381.0
48,1/3,1144/3
54,1/3,1145/3
44,1/3,382.0
48,1/3,1147/3
54,1/3,1148/3
43,1/3,383.0
48,1/3,1150/3
51,1/3,1151/3
43,1/3,384.0
48,1/3,1153/3
51,1/3,1154/3
43,1/3,385.0
48,1/3,1156/3
51,1/3,1157/3
43,1/3,386.0
48,1/3,1159/3
51,1/3,1160/3
43,1/3,387.0
47,1/3,1162/3
50,1/3,1163/3
43,1/3,388.0
47,1/3,1165/3
50,1/3,1166/3
43,1/3,389.0
47,1/3,1168/3
50,1/3,1169/3
43,1/3,390.0
47,1/3,1171/3
50,1/3,1172/3
36,1/3,391.0
43,1/3,1174/3
48,1/3,1175/3
36,1/3,392.0
43,1/3,1177/3
48,1/3,1178/3
36,1/3,393.0
43,1/3,1180/3
48,1/3,1181/3
36,1/3,394.0
43,1/3,1183/3
48,1/3,1184/3
38,1/3,395.0
41,1/3,1186/3
46,1/3,1187/3
38,1/3,396.0
41,1/3,1189/3
46,1/3,1190/3
38,1/3,397.0
41,1/3,1192/3
46,1/3,1193/3
38,1/3,398.0
41,1/3,1195/3
46,1/3,1196/3
39,1/3,399.0
43,1/3,1198/3
46,1/3,1199/3
39,1/3,400.0
43,1/3,1201/3
46,1/3,1202/3
40,1/3,401.0
43,1/3,1204/3
48,1/3,1205/3
40,1/3,402.0
43,1/3,1207/3
48,1/3,1208/3
41,1/3,403.0
44,1/3,1210/3
48,1/3,1211/3
41,1/3,404.0
44,1/3,1213/3
48,1/3,1214/3
41,1/3,405.0
44,1/3,1216/3
50,1/3,1217/3
41,1/3,406.0
44,1/3,1219/3
50,1/3,1220/3
43,1/3,407.0
46,1/3,1222/3
51,1/3,1223/3
43,1/3,408.0
46,1/3,1225/3
51,1/3,1226/3
43,1/3,409.0
46,1/3,1228/3
52,1/3,1229/3
43,1/3,410.0
46,1/3,1231/3
52,1/3,1232/3
44,1/3,411.0
48,1/3,1234/3
53,1/3,1235/3
44,1/3,412.0
48,1/3,1237/3
53,1/3,1238/3
44,1/3,413.0
48,1/3,1240/3
54,1/3,1241/3
44,1/3,414.0
48,1/3,1243/3
54,1/3,1244/3
43,1/3,415.0
48,1/3,1246/3
51,1/3,1247/3
43,1/3,416.0
48,1/3,1249/3
51,1/3,1250/3
43,1/3,417.0
48,1/3,1252/3
51,1/3,1253/3
43,1/3,418.0
48,1/3,1255/3
51,1/3,1256/3
43,1/3,419.0
47,1/3,1258/3
50,1/3,1259/3
43,1/3,420.0
47,1/3,1261/3
50,1/3,1262/3
43,1/3,421.0
47,1/3,1264/3
50,1/3,1265/3
43,1/3,422.0
47,1/3,1267/3
50,1/3,1268/3
48,1/3,423.0
51,1/3,1270/3
55,1/3,1271/3
60,1/3,424.0
63,1/3,1273/3
67,1/3,1274/3
60,1/3,425.0
63,1/3,1276/3
67,1/3,1277/3
60,1/3,426.0
65,1/3,1279/3
68,1/3,1280/3
60,1/3,427.0
67,1/3,1282/3
63,1/3,1283/3
60,1/3,428.0
55,1/3,1285/3
51,1/3,1286/3
48,1/3,429.0
51,1/3,1288/3
55,1/3,1289/3
43,1/3,430.0
50,1/3,1291/3
55,1/3,1292/3
48,1/3,431.0
51,1/3,1294/3
55,1/3,1295/3
60,1/3,432.0
63,1/3,1297/3
67,1/3,1298/3
60,1/3,433.0
63,1/3,1300/3
67,1/3,1301/3
60,1/3,434.0
65,1/3,1303/3
68,1/3,1304/3
60,1/3,435.0
67,1/3,1306/3
63,1/3,1307/3
60,1/3,436.0
55,1/3,1309/3
51,1/3,1310/3
48,1/3,437.0
51,1/3,1312/3
55,1/3,1313/3
43,1/3,438.0
50,1/3,1315/3
55,1/3,1316/3
48,1/3,439.0
51,1/3,1318/3
55,1/3,1319/3
60,1/3,440.0
55,1/3,1321/3
51,1/3,1322/3
48,1/3,441.0
51,1/3,1324/3
55,1/3,1325/3
43,1/3,442.0
50,1/3,1327/3
55,1/3,1328/3
48,1/3,443.0
51,1/3,1330/3
55,1/3,1331/3
60,1/3,444.0
55,1/3,1333/3
51,1/3,1334/3
48,1/3,445.0
51,1/3,1336/3
55,1/3,1337/3
60,1/3,446.0
55,1/3,1339/3
51,1/3,1340/3
48,1.0,447.0
r,3.0,448.0
46,1.0,451.0
49,1.0,451.0
51,1.0,451.0
55,1.0,451.0
r,1.0,452.0
46,1.0,453.0
49,1.0,453.0
51,1.0,453.0
55,1.0,453.0
r,1.0,454.0
46,1.0,455.0
49,1.0,455.0
51,1.0,455.0
55,1.0,455.0
r,4.0,456.0
56,1.0,460.0
60,1.0,460.0
56,1.0,461.0
60,1.0,461.0
56,1.0,462.0
60,1.0,462.0
r,1.0,463.0
56,1.0,464.0
60,1.0,464.0
63,1.0,464.0
56,1.0,465.0
60,1.0,465.0
63,1.0,465.0
56,1.0,466.0
60,1.0,466.0
63,1.0,466.0
r,1.0,467.0
55,1.0,468.0
58,1.0,468.0
63,1.0,468.0
55,1.0,469.0
58,1.0,469.0
63,1.0,469.0
55,1.0,470.0
58,1.0,470.0
63,1.0,470.0
r,1.0,471.0
55,1.0,472.0
58,1.0,472.0
63,1.0,472.0
55,1.0,473.0
58,1.0,473.0
63,1.0,473.0
55,1.0,474.0
58,1.0,474.0
63,1.0,474.0
r,1.0,475.0
53,1.0,476.0
56,1.0,476.0
61,1.0,476.0
53,1.0,477.0
56,1.0,477.0
61,1.0,477.0
53,1.0,478.0
56,1.0,478.0
61,1.0,478.0
r,1.0,479.0
51,1.0,480.0
56,1.0,480.0
60,1.0,480.0
51,1.0,481.0
56,1.0,481.0
60,1.0,481.0
51,1.0,482.0
56,1.0,482.0
60,1.0,482.0
r,1.0,483.0
49,1.0,484.0
53,1.0,484.0
58,1.0,484.0
49,1.0,485.0
53,1.0,485.0
58,1.0,485.0
49,1.0,486.0
53,1.0,486.0
58,1.0,486.0
r,1.0,487.0
51,1.0,488.0
60,1.0,488.0
51,1.0,489.0
61,1.0,489.0
51,1.0,490.0
61,1.0,490.0
r,1.0,491.0
56,1.0,492.0
61,1.0,492.0
